t,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,holding,orderPlaced,index_ret,ma5,ma10,ma20,ma60,diff,dea,macd,macdThreshold,macdScore,slowkdScore,slowk,slowd,tp,matp,mean_dev,CCI,CCIScore
44,HK.MHImain,2020-07-23 09:55:00,25266.0,25302.0,25322.0,25256.0,0.0,0.0,2177,55060253.0,0.13852059999208455,25267.0,0,,0.0013852059999208688,25275.8,25202.7,25128.15,,120.58743547241102,93.53152828321883,54.111814378384366,0.0,0.0,0.0,87.1775611075222,88.47916423034637,25293.333333333332,25112.94871794873,67.62130177515232,177.83805856957093,0.0
45,HK.MHImain,2020-07-23 10:00:00,25303.0,25269.0,25318.0,25261.0,0.0,0.0,1516,38336554.0,-0.1304244723737254,25302.0,0,,-0.0013042447237372468,25282.2,25220.7,25138.85,,115.38765743758631,100.816904668008,29.14150553915664,0.0,0.0,0.0,82.23086900129702,85.84376143039253,25282.666666666668,25120.371794871808,75.87376725838756,142.60077640287824,0.0
46,HK.MHImain,2020-07-23 10:05:00,25269.0,25235.0,25271.0,25220.0,0.0,0.0,2282,57596297.0,-0.1345522181328901,25269.0,-1,-1.0,-0.0013455221813288842,25275.0,25234.1,25148.25,,100.53247020385243,100.72209317995613,-0.37924595220741253,0.0,-1.0,0.0,78.0804150453956,82.49628171807161,25242.0,25126.269230769245,81.1469428007934,95.07917795897825,0.0
47,HK.MHImain,2020-07-23 10:10:00,25239.0,25179.0,25239.0,25172.0,0.0,0.0,2119,53401214.0,-0.2219140083217753,25235.0,-1,,-0.0022191400832177743,25250.4,25233.2,25154.8,,73.76193620105914,91.73537418699047,-35.94687597186265,0.0,0.0,0.0,62.12710765239948,74.14613056636404,25196.666666666668,25130.320512820523,83.44575936883862,53.00541281583767,-0.5
48,HK.MHImain,2020-07-23 10:15:00,25177.0,25152.0,25183.0,25101.0,0.0,0.0,3030,76181544.0,-0.10723221732396045,25179.0,-1,,-0.0010723221732396038,25227.4,25234.1,25159.6,,48.0404530103915,77.17040046145748,-58.25989490213195,0.0,0.0,0.0,43.64635445617936,61.284625717991474,25145.333333333332,25132.884615384628,82.43096646942999,10.067994656127055,-0.5
49,HK.MHImain,2020-07-23 10:20:00,25153.0,25164.0,25203.0,25133.0,0.0,0.0,2502,62980049.0,0.047709923664122134,25152.0,-1,,0.0004770992366411875,25199.8,25237.8,25165.4,,34.28914039014853,62.8766471043545,-57.17501342841193,0.0,0.0,0.0,31.361172873818788,45.71154499413254,25166.666666666668,25136.602564102577,81.59763313609577,24.562887760847296,-0.5
50,HK.MHImain,2020-07-23 10:25:00,25164.0,25100.0,25168.0,25070.0,0.0,0.0,3662,91947378.0,-0.25433158480368784,25164.0,-1,,-0.002543315848036909,25166.0,25224.1,25168.15,,7.218144659069367,44.32381295592612,-74.21133659371351,0.0,0.0,0.0,20.885854341736692,31.964460557244944,25112.666666666668,25139.230769230777,79.17159763313667,-22.368377345961,-0.5
51,HK.MHImain,2020-07-23 10:30:00,25101.0,25097.0,25117.0,25067.0,0.0,0.0,2628,65931802.0,-0.01195219123505976,25100.0,-1,,-0.0001195219123506508,25138.4,25206.7,25170.9,,-10.793559035668295,25.95135562539465,-73.4898293221259,0.0,0.0,0.0,17.172537619699042,23.139854945084835,25093.666666666668,25140.961538461546,77.57396449704203,-40.64496991270984,-0.5
52,HK.MHImain,2020-07-23 10:35:00,25097.0,25090.0,25159.0,25084.0,0.0,0.0,2725,68456060.0,-0.027891779894011235,25097.0,-1,,-0.0002789177989400704,25120.6,25185.5,25172.3,,-23.878825083545962,9.341295389081115,-66.44024094525415,0.0,0.0,0.0,10.804073567411463,16.287488509615727,25111.0,25143.358974358984,75.3609467455629,-28.62576772753448,-0.5
53,HK.MHImain,2020-07-23 10:40:00,25089.0,25047.0,25093.0,25033.0,0.0,0.0,2686,67300062.0,-0.1713830211239538,25090.0,-1,,-0.0017138302112394976,25099.6,25163.5,25171.65,,-43.619940278811555,-8.312449833549774,-70.61498089052355,0.0,0.0,0.0,8.519931840545278,12.165514342551923,25057.666666666668,25143.871794871804,74.8875739644977,-76.74181767102759,-0.5
54,HK.MHImain,2020-07-23 10:45:00,25047.0,25044.0,25061.0,24994.0,0.0,0.0,2460,61560261.0,-0.011977482333213559,25047.0,-1,,-0.00011977482333214162,25075.6,25137.7,25170.2,,-56.075087989185704,-24.23332921876175,-63.68351754084791,0.0,0.0,0.0,10.660810020379044,9.994938476111924,25033.0,25143.141025641035,75.56213017751543,-97.17480205343082,-0.5
55,HK.MHImain,2020-07-23 10:50:00,25041.0,25013.0,25072.0,25008.0,0.0,0.0,2069,51812876.0,-0.12378214342756748,25044.0,-1,,-0.0012378214342756433,25058.2,25112.1,25166.4,,-71.48990158480592,-39.98552000744314,-63.00876315472556,0.0,0.0,0.0,10.239308086272068,9.806683315732124,25031.0,25142.32051282052,76.31952662721932,-97.24074361227906,-0.5
56,HK.MHImain,2020-07-23 10:55:00,25013.0,25039.0,25040.0,24963.0,0.0,0.0,2937,73431219.0,0.10394594810698436,25013.0,-1,,0.001039459481069871,25046.6,25092.5,25163.3,,-72.64941567121787,-50.873485228701384,-43.551860885032966,0.0,0.0,0.0,19.15743674124283,13.352518282631308,25014.0,25141.256410256417,77.3017751479295,-109.7485881472464,-1.0
57,HK.MHImain,2020-07-23 11:00:00,25040.0,24993.0,25063.0,24983.0,0.0,0.0,2047,51221248.0,-0.1837134070849475,25039.0,-1,,-0.001837134070849511,25027.2,25073.9,25153.55,,-84.81189832430755,-62.18628959390344,-45.25121746080822,0.0,0.0,0.0,17.307256235827666,15.568000354447515,25013.0,25140.282051282058,78.2011834319531,-108.50820554210907,0.0
58,HK.MHImain,2020-07-23 11:05:00,24990.0,25031.0,25033.0,24969.0,0.0,0.0,2225,55625881.0,0.15204257192013765,24993.0,-1,,0.0015204257192014126,25024.0,25061.8,25147.95,,-80.34361150728728,-68.23873023169806,-24.209762551178443,0.0,0.0,0.0,25.779132791327914,20.747941922799466,25011.0,25138.60256410257,79.75147928994123,-106.66683154441412,0.0
59,HK.MHImain,2020-07-23 11:10:00,25031.0,25056.0,25084.0,25010.0,0.0,0.0,1931,48386923.0,0.09987615356957373,25031.0,-1,,0.0009987615356956692,25026.4,25051.0,25144.4,25110.233333333334,-69.09795663162004,-68.52513903167205,-1.1456351998959633,0.0,0.0,0.0,31.0399037663846,24.708764264513388,25050.0,25138.217948717956,80.10650887574019,-73.41721245548106,0.0
60,HK.MHImain,2020-07-23 11:15:00,25055.0,25098.0,25101.0,25054.0,0.0,0.0,1453,36448630.0,0.16762452107279693,25056.0,0,1.0,0.0016762452107279557,25043.4,25050.8,25137.45,25109.683333333334,-49.07110066117093,-62.040459574838344,25.938717827334827,0.0,1.0,0.0,49.83242077318732,35.5504857769666,25084.333333333332,25138.79487179488,79.57396449704189,-45.627602617495896,0.0
61,HK.MHImain,2020-07-23 11:20:00,25097.0,25044.0,25108.0,25041.0,0.0,0.0,1342,33645376.0,-0.2151565861821659,25098.0,0,,-0.002151565861821636,25044.4,25045.5,25126.1,25108.45,-50.55287466752998,-58.21126460573556,15.316779876411161,0.0,0.0,0.0,57.39619985925405,46.08950813294198,25064.333333333332,25138.051282051292,80.26035502958663,-61.23234706249448,0.0
62,HK.MHImain,2020-07-23 11:25:00,25045.0,25066.0,25096.0,25041.0,0.0,0.0,1003,25151137.0,0.0878453921098866,25044.0,0,,0.0008784539210988651,25059.0,25043.1,25114.3,25107.583333333332,-44.43856802954542,-53.620365747005515,18.363595434920185,0.0,0.0,0.0,65.25803424818203,57.49555162687446,25067.666666666668,25136.897435897445,81.32544378698297,-56.752037252625016,0.0
63,HK.MHImain,2020-07-23 11:30:00,25066.0,25104.0,25104.0,25056.0,0.0,0.0,747,18739374.0,0.15159977658980292,25066.0,0,,0.0015159977658980583,25073.6,25048.8,25106.15,25107.033333333333,-29.210327405082353,-45.483686299697794,32.54671778923088,0.0,0.0,0.0,74.71264367816092,65.78895926186566,25088.0,25133.051282051292,80.64891518737834,-37.24065967212812,0.5
64,HK.MHImain,2020-07-23 11:35:00,25104.0,25147.0,25152.0,25088.0,0.0,0.0,1345,33793965.0,0.1712874442319949,25104.0,0,,0.0017128744423200448,25091.8,25059.1,25098.4,25107.266666666666,-7.136799467363744,-32.70139068891978,51.12918244311207,0.0,0.0,0.0,88.5434531411543,76.17137702249907,25129.0,25132.358974358984,80.10848126232962,-2.7953547539984123,0.5
65,HK.MHImain,2020-07-23 11:40:00,25148.0,25139.0,25149.0,25120.0,0.0,0.0,779,19580874.0,-0.03181293991330974,25147.0,0,,-0.0003181293991331158,25100.0,25071.7,25091.9,25107.633333333335,4.671288483557873,-20.243830964760562,49.83023889663687,0.0,0.0,0.0,95.83068384274338,86.3622602206862,25136.0,25133.128205128214,79.73767258382787,2.401035611506149,0.5
66,HK.MHImain,2020-07-23 11:45:00,25139.0,25159.0,25160.0,25130.0,0.0,0.0,460,11566900.0,0.07955765941366005,25139.0,0,,0.0007955765941365378,25123.0,25083.7,25088.1,25108.283333333333,17.57506074000048,-7.637533729840214,50.42518893968139,0.0,0.0,0.0,96.57570400282042,93.64994699557269,25149.666666666668,25130.7435897436,76.98619329388734,16.38655462183989,0.5
67,HK.MHImain,2020-07-23 11:50:00,25160.0,25143.0,25164.0,25136.0,0.0,0.0,620,15593957.0,-0.06359553241384792,25159.0,0,,-0.0006359553241385152,25138.4,25098.7,25086.3,25108.833333333332,20.929749554426962,1.8848940315821778,38.08971104568957,0.0,0.0,-1.0,92.91208367253341,95.10615717269906,25147.666666666668,25126.83333333334,72.64102564102625,19.11989645840226,0.5
68,HK.MHImain,2020-07-23 11:55:00,25142.0,25138.0,25144.0,25129.0,0.0,0.0,425,10683181.0,-0.019886250646303148,25143.0,0,,-0.00019886250646306003,25145.2,25109.4,25085.6,25109.433333333334,21.26548418657694,8.345090749913766,25.84078687332635,0.0,0.0,0.0,88.23395492403283,92.57391419979554,25137.0,25120.730769230777,66.06903353057267,16.416395498096517,0.5
69,HK.MHImain,2020-07-23 12:00:00,25138.0,25138.0,25146.0,25129.0,0.0,0.0,342,8596940.0,0.0,25138.0,0,,0.0,25143.4,25117.6,25084.3,25110.083333333332,21.083067395957187,12.591082965261572,16.98396886139123,0.0,0.0,0.0,81.36240453313626,87.50281437656749,25137.666666666668,25115.192307692316,60.10453648915259,24.928078408200406,0.5
